file,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS,AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY,AMERICAN ECONOMIC JOURNAL-MACROECONOMICS,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS,AMERICAN ECONOMIC REVIEW,ECONOMETRICA,ECONOMIC JOURNAL,INTERNATIONAL ECONOMIC REVIEW,JOURNAL OF DEVELOPMENT ECONOMICS,JOURNAL OF ECONOMETRICS,JOURNAL OF ECONOMIC THEORY,JOURNAL OF INTERNATIONAL ECONOMICS,JOURNAL OF LABOR ECONOMICS,JOURNAL OF MONETARY ECONOMICS,JOURNAL OF POLITICAL ECONOMY,JOURNAL OF PUBLIC ECONOMICS,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,QUANTITATIVE ECONOMICS,QUARTERLY JOURNAL OF ECONOMICS,RAND JOURNAL OF ECONOMICS,REVIEW OF ECONOMIC STUDIES,REVIEW OF ECONOMICS AND STATISTICS,THEORETICAL ECONOMICS,name,promotion_university,promotion_year,years_post_phd,unresolved_count,unresolved_fields,unresolved_details,needs_review
Arizona State/associate/CV-2.docx,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Natalia Kovrijnykh,Arizona State University,2016,8,0,,{},0
Arizona State/associate/CV.docx,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Wyatt J. Brooks,University of Notre Dame,2020,8,0,,{},0
Arizona State/associate/CV2023-05.docx,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Manjira Datta,Arizona State University,2001,9,0,,{},0
Arizona State/associate/CV_Ferraro.docx,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Domenico Ferraro,Arizona State University,2023,9,0,,{},0
Arizona State/associate/CV_bishop.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,Kelly C. Bishop,Arizona State University,2013,5,0,,{},0
Arizona State/associate/CV_current.docx,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Galina Vereshchagina,Arizona State University,2014,10,0,,{},0
Arizona State/associate/cv-3.docx,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Alvin D. Murphy,Arizona State University,2018,10,0,,{},0
Arizona State/associate/cv_kuminoff.docx,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Nicolai V. Kuminoff,Arizona State University,2016,10,0,,{},0
Arizona State/associate/gentry_cv.docx,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matthew L. Gentry,Florida State University,2019,,1,years_post_phd,"{""years_post_phd"": ""tie""}",1
Arizona State/associate/mizzi_acad_cv_2021.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Philip J Mizzi,Arizona State University,1993,9,0,,{},0
Arizona State/full/2104res.docx,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,Alejandro M. Manelli,The University of Iowa,1996,8,0,,{},0
Arizona State/full/CV - Esteban M. Aucejo.docx,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,3,0,1,0,0,0,1,0,Esteban M. Aucejo,Arizona State University,2017,5,0,,{},0
Arizona State/full/Ketcham CV April 2024.docx,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,Jonathan D. Ketcham,Arizona State University,2010,8,0,,{},0
Arizona State/full/May 2023.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jeffrey R. Wilson,Arizona State University,1991,7,0,,{},0
Arizona State/full/RAJNISH-MEHRA-Vita-Aug-2025.docx,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,3,1,0,1,0,0,Rajnish Mehra,"University of California, Santa Barbara",1985,7,0,,{},0
Arizona State/full/WMH CV 6-19.docx,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,W. Michael Hanemann,University of California at Berkeley,1984,6,0,,{},0
Arizona State/full/ahn_vita_2021_02_22.docx,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Seung Chan Ahn,Arizona State University,1997,7,0,,{},0
