field,field_type,diff_count,missing_count,total_files,diff_rate,missing_rate
AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS,number,7,2,285,0.0246,0.0070
AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY,number,4,2,285,0.0140,0.0070
AMERICAN ECONOMIC JOURNAL-MACROECONOMICS,number,5,2,285,0.0175,0.0070
AMERICAN ECONOMIC JOURNAL-MICROECONOMICS,number,5,2,285,0.0175,0.0070
AMERICAN ECONOMIC REVIEW,number,47,2,285,0.1649,0.0070
ECONOMETRICA,number,9,2,285,0.0316,0.0070
ECONOMIC JOURNAL,number,13,2,285,0.0456,0.0070
INTERNATIONAL ECONOMIC REVIEW,number,23,2,285,0.0807,0.0070
JOURNAL OF DEVELOPMENT ECONOMICS,number,9,2,285,0.0316,0.0070
JOURNAL OF ECONOMETRICS,number,30,2,285,0.1053,0.0070
JOURNAL OF ECONOMIC THEORY,number,31,2,285,0.1088,0.0070
JOURNAL OF INTERNATIONAL ECONOMICS,number,15,2,285,0.0526,0.0070
JOURNAL OF LABOR ECONOMICS,number,10,2,285,0.0351,0.0070
JOURNAL OF MONETARY ECONOMICS,number,21,2,285,0.0737,0.0070
JOURNAL OF POLITICAL ECONOMY,number,6,2,285,0.0211,0.0070
JOURNAL OF PUBLIC ECONOMICS,number,12,2,285,0.0421,0.0070
JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,number,4,2,285,0.0140,0.0070
QUANTITATIVE ECONOMICS,number,5,2,285,0.0175,0.0070
QUARTERLY JOURNAL OF ECONOMICS,number,4,2,285,0.0140,0.0070
RAND JOURNAL OF ECONOMICS,number,7,2,285,0.0246,0.0070
REVIEW OF ECONOMIC STUDIES,number,13,2,285,0.0456,0.0070
REVIEW OF ECONOMICS AND STATISTICS,number,13,2,285,0.0456,0.0070
THEORETICAL ECONOMICS,number,5,2,285,0.0175,0.0070
name,set,22,12,285,0.0772,0.0421
promotion_university,text,45,49,285,0.1579,0.1719
promotion_year,number,38,49,285,0.1333,0.1719
years_post_phd,number,43,71,285,0.1509,0.2491
