file,diff_fields,deepseek_values,kimi_values,poe_values
Arizona State/associate/CV2023-05.docx,INTERNATIONAL ECONOMIC REVIEW; promotion_university; promotion_year; years_post_phd,"{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""promotion_university"": ""Arizona State University"", ""promotion_year"": ""2001"", ""years_post_phd"": ""9""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""promotion_university"": ""Arizona State University"", ""promotion_year"": ""1995"", ""years_post_phd"": ""3""}"
Arizona State/associate/CV_bishop.docx,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": ""Arizona State University"", ""promotion_year"": ""2013"", ""years_post_phd"": ""5""}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Arizona State/associate/CV_current.docx,JOURNAL OF ECONOMIC THEORY,"{""JOURNAL OF ECONOMIC THEORY"": ""1""}","{""JOURNAL OF ECONOMIC THEORY"": ""2""}","{""JOURNAL OF ECONOMIC THEORY"": ""1""}"
Arizona State/associate/cv-3.docx,AMERICAN ECONOMIC REVIEW,"{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}"
Arizona State/associate/cv_kuminoff.docx,INTERNATIONAL ECONOMIC REVIEW; years_post_phd,"{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""years_post_phd"": """"}","{""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""years_post_phd"": ""11""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""years_post_phd"": """"}"
Arizona State/associate/gentry_cv.docx,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""Florida State University"", ""promotion_year"": ""2019"", ""years_post_phd"": ""7""}","{""promotion_university"": ""London School of Economics"", ""promotion_year"": ""2017"", ""years_post_phd"": ""5""}","{""promotion_university"": ""Florida State University"", ""promotion_year"": ""2019"", ""years_post_phd"": ""7""}"
Arizona State/associate/mizzi_acad_cv_2021.docx,name,"{""name"": ""Ph\u0131l\u0131p J M\u0131zz\u0131""}","{""name"": ""Philip J Mizzi""}","{""name"": ""Ph\u0131l\u0131p J M\u0131zz\u0131""}"
Arizona State/full/2104res.docx,ECONOMETRICA; JOURNAL OF ECONOMIC THEORY; promotion_university; promotion_year; years_post_phd,"{""ECONOMETRICA"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""5"", ""promotion_university"": ""The University of Iowa"", ""promotion_year"": ""1996"", ""years_post_phd"": ""8""}","{""ECONOMETRICA"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""7"", ""promotion_university"": ""Arizona State University"", ""promotion_year"": ""1997"", ""years_post_phd"": ""9""}","{""ECONOMETRICA"": ""5"", ""JOURNAL OF ECONOMIC THEORY"": ""8"", ""promotion_university"": ""The University of Iowa"", ""promotion_year"": ""1996"", ""years_post_phd"": ""8""}"
Arizona State/full/CV - Esteban M. Aucejo.docx,REVIEW OF ECONOMICS AND STATISTICS,"{""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}"
Arizona State/full/Ketcham CV April 2024.docx,AMERICAN ECONOMIC REVIEW; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC REVIEW"": ""3"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""promotion_university"": ""Arizona State University"", ""promotion_year"": ""2020"", ""years_post_phd"": ""18""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
