file,diff_fields,present_models,missing_models,claude_values,deepseek_values,gemini_values,gpt_values,kimi_values
Arizona State/associate/CV.docx,AMERICAN ECONOMIC JOURNAL-MACROECONOMICS; ECONOMETRICA; JOURNAL OF DEVELOPMENT ECONOMICS; THEORETICAL ECONOMICS; promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""ECONOMETRICA"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""THEORETICAL ECONOMICS"": ""1"", ""promotion_university"": ""University of Notre Dame""}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""ECONOMETRICA"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""THEORETICAL ECONOMICS"": ""0"", ""promotion_university"": ""University of Notre Dame""}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""ECONOMETRICA"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""THEORETICAL ECONOMICS"": ""0"", ""promotion_university"": ""University of Notre Dame""}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""1"", ""ECONOMETRICA"": ""1"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1"", ""THEORETICAL ECONOMICS"": ""0"", ""promotion_university"": ""Arizona State University""}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""ECONOMETRICA"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""THEORETICAL ECONOMICS"": ""0"", ""promotion_university"": ""University of Notre Dame""}"
Arizona State/associate/CV2023-05.docx,promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""Arizona State University"", ""promotion_year"": ""2001"", ""years_post_phd"": ""9""}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": ""Arizona State University"", ""promotion_year"": ""2001"", ""years_post_phd"": ""9""}","{""promotion_university"": ""Arizona State University"", ""promotion_year"": ""2001"", ""years_post_phd"": ""9""}","{""promotion_university"": ""Arizona State University"", ""promotion_year"": ""2001"", ""years_post_phd"": ""9""}"
Arizona State/associate/CV_bishop.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF MONETARY ECONOMICS; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""1"", ""promotion_university"": ""Arizona State University"", ""promotion_year"": ""2013"", ""years_post_phd"": ""5""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""1"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""0"", ""promotion_university"": ""Arizona State University"", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""1"", ""promotion_university"": ""Arizona State University"", ""promotion_year"": ""2013"", ""years_post_phd"": ""5""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""1"", ""promotion_university"": ""Arizona State University"", ""promotion_year"": ""2013"", ""years_post_phd"": ""5""}"
Arizona State/associate/cv-3.docx,AMERICAN ECONOMIC REVIEW,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}"
Arizona State/associate/gentry_cv.docx,promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""Florida State University"", ""promotion_year"": ""2019"", ""years_post_phd"": ""7""}","{""promotion_university"": ""Florida State University"", ""promotion_year"": ""2019"", ""years_post_phd"": """"}","{""promotion_university"": ""London School of Economics"", ""promotion_year"": ""2017"", ""years_post_phd"": ""5""}","{""promotion_university"": ""Florida State University"", ""promotion_year"": ""2019"", ""years_post_phd"": ""7""}","{""promotion_university"": ""London School of Economics"", ""promotion_year"": ""2017"", ""years_post_phd"": ""5""}"
Arizona State/associate/mizzi_acad_cv_2021.docx,name; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""name"": ""Philip J Mizzi"", ""promotion_year"": ""1993"", ""years_post_phd"": ""9""}","{""name"": ""Ph\u0131l\u0131p J M\u0131zz\u0131"", ""promotion_year"": ""1993"", ""years_post_phd"": ""9""}","{""name"": ""Philip J Mizzi"", ""promotion_year"": ""1993"", ""years_post_phd"": ""9""}","{""name"": ""Ph\u0131l\u0131p J M\u0131zz\u0131"", ""promotion_year"": ""2008"", ""years_post_phd"": ""24""}","{""name"": ""Philip J Mizzi"", ""promotion_year"": ""1993"", ""years_post_phd"": ""9""}"
Arizona State/full/2104res.docx,promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""Arizona State University"", ""promotion_year"": ""1997"", ""years_post_phd"": ""9""}","{""promotion_university"": ""The University of Iowa"", ""promotion_year"": ""1996"", ""years_post_phd"": ""8""}","{""promotion_university"": ""The University of Iowa"", ""promotion_year"": ""1996"", ""years_post_phd"": ""8""}","{""promotion_university"": ""Arizona State University"", ""promotion_year"": ""1997"", ""years_post_phd"": ""9""}","{""promotion_university"": ""The University of Iowa"", ""promotion_year"": ""1996"", ""years_post_phd"": ""8""}"
Arizona State/full/CV - Esteban M. Aucejo.docx,REVIEW OF ECONOMICS AND STATISTICS,claude; deepseek; gemini; gpt; kimi,,"{""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}"
Arizona State/full/Ketcham CV April 2024.docx,promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""Arizona State University""}","{""promotion_university"": ""Arizona State University""}","{""promotion_university"": ""Arizona State University""}","{""promotion_university"": ""W.P. Carey School of Business, Arizona State University""}","{""promotion_university"": ""Arizona State University""}"
Arizona State/full/May 2023.docx,promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_year"": ""1991"", ""years_post_phd"": ""7""}","{""promotion_year"": ""1991"", ""years_post_phd"": ""7""}","{""promotion_year"": ""1991"", ""years_post_phd"": ""7""}","{""promotion_year"": ""2006"", ""years_post_phd"": ""22""}","{""promotion_year"": ""1991"", ""years_post_phd"": ""7""}"
