file,name,promotion_year,promotion_university,years_post_phd,QUARTERLY JOURNAL OF ECONOMICS,AMERICAN ECONOMIC REVIEW,ECONOMETRICA,REVIEW OF ECONOMIC STUDIES,JOURNAL OF POLITICAL ECONOMY,AMERICAN ECONOMIC JOURNAL-MACROECONOMICS,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY,THEORETICAL ECONOMICS,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS,QUANTITATIVE ECONOMICS,REVIEW OF ECONOMICS AND STATISTICS,ECONOMIC JOURNAL,INTERNATIONAL ECONOMIC REVIEW,JOURNAL OF ECONOMIC THEORY,JOURNAL OF LABOR ECONOMICS,JOURNAL OF MONETARY ECONOMICS,RAND JOURNAL OF ECONOMICS,JOURNAL OF INTERNATIONAL ECONOMICS,JOURNAL OF PUBLIC ECONOMICS,JOURNAL OF ECONOMETRICS,JOURNAL OF DEVELOPMENT ECONOMICS
Arizona/associate/Mathevet_cv.docx,Laurent Mathevet,2013,New York University,5,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0
Arizona/associate/Deimen_CV_Nov2025.docx,Inga Deimen,2025,University of Arizona,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Arizona/associate/Taylor_CV_Sep25.docx,Evan James Taylor,2023,University of Arizona,6,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Arizona/associate/Stegeman_CV_2022.docx,Mark Stegeman,2000,Virginia Polytechnic Institute and State University,13,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Arizona/full/CVJan2025_Hidehiko Ichimura.docx,Hidehiko Ichimura,1998,University of Pittsburgh,10,0,2,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0
Arizona/full/20220817_cv_wildenbeest.docx,Matthijs R Wildenbeest,2013,Indiana University,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
Arizona/full/Charles-Noussair-Vitae-June-2025.docx,Charles N. Noussair,1998,Purdue University,5,0,5,1,1,2,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0
Arizona/full/Blume.docx,Andreas Blume,1995,University of Iowa,6,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,0,0
Arizona/full/Price V. Fishback CV.docx,Price Vanmeter Fishback,1990,University of Arizona,7,1,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
Arizona/full/Powell CV June 2022_0.docx,James L. Powell,1987,University of Wisconsin-Madison,5,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0
"Arizona/full/Mo, Xiao_CV.docx",Mo Xiao,2012,University of Arizona,9,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
Arizona/full/Woutersen CV 2024 3.docx,Tiemen Woutersen,2013,University of Arizona,13,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0
Arizona/full/lemoine_cv.docx,Derek Lemoine,2017,University of Arizona,6,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Arizona/full/alangerCV_20251211.docx,Ashley Langer,2021,University of Arizona,11,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
