file,name,promotion_year,promotion_university,years_post_phd,promotion_evidence,phd_evidence,QUARTERLY JOURNAL OF ECONOMICS,AMERICAN ECONOMIC REVIEW,ECONOMETRICA,REVIEW OF ECONOMIC STUDIES,JOURNAL OF POLITICAL ECONOMY,AMERICAN ECONOMIC JOURNAL-MACROECONOMICS,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY,THEORETICAL ECONOMICS,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS,QUANTITATIVE ECONOMICS,REVIEW OF ECONOMICS AND STATISTICS,ECONOMIC JOURNAL,INTERNATIONAL ECONOMIC REVIEW,JOURNAL OF ECONOMIC THEORY,JOURNAL OF LABOR ECONOMICS,JOURNAL OF MONETARY ECONOMICS,RAND JOURNAL OF ECONOMICS,JOURNAL OF INTERNATIONAL ECONOMICS,JOURNAL OF PUBLIC ECONOMICS,JOURNAL OF ECONOMETRICS,JOURNAL OF DEVELOPMENT ECONOMICS
Arizona/associate/Mathevet_cv.docx,Laurent Mathevet,2024,University of Arizona,16,"Associate Professor of Economics. Department of Economics, University of Arizona. 2024 - .",Ph.D in Social Sciences	June 2008,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0
Arizona/associate/Taylor_CV_Sep25.docx,Evan James Taylor,2023,University of Arizona,6,"08/2023 – current	Associate Professor of Economics, University of Arizona","08/2017	Ph.D., Economics, University of Michigan",0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Arizona/associate/Deimen_CV_Nov2025.docx,Inga Deimen,2025,University of Arizona,9,08/2025 –	Associate Professor in Economics at the University of Arizona,"06/2016	Doctorate in Economics, University of Bonn",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Arizona/associate/Stegeman_CV_2022.docx,Mark Stegeman,2000,Virginia Polytechnic Institute and State University,13,"Virginia Polytechnic Institute and State University, Assistant Professor, Economics, 1994-2000; Associate Professor, Economics, 2000- 2006.","1987 Ph.D. Economics, Massachusetts Institute of Technology.",0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Arizona/full/CVJan2025_Hidehiko Ichimura.docx,,,,,,"PhD Economics, 1988, Massachusetts Institute of Technology",0,2,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0
Arizona/full/20220817_cv_wildenbeest.docx,,2013,Indiana University,6,"Associate Professor (with tenure), 2013 – 2022.","Ph.D. Economics, Erasmus University Rotterdam, 2007.",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
Arizona/full/Blume.docx,Andreas Blume,1995,University of Iowa,,"Associate Professor - Department of Economics, University of Iowa, 1995 to 2000.",,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0
Arizona/full/Charles-Noussair-Vitae-June-2025.docx,Charles N. Noussair,2002,Emory University,9,"Associate Professor (with tenure), 2002-2004","Ph.D. Social Science, California Institute of Technology, USA, 1993.",0,3,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
Arizona/full/Powell CV June 2022_0.docx,JAMES L. POWELL,,,,,,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0
"Arizona/full/Mo, Xiao_CV.docx",Mo XIAO,2012,the University of Arizona,9,"Associate Professor (with tenure), Department of Economics, the University of Arizona (Aug 2012 to Aug 2022)","Ph.D. Economics, UCLA, May 2003",0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
Arizona/full/Woutersen CV 2024 3.docx,Tiemen Woutersen,2013,University of Arizona,13,"July 2013-June 2018: Associate Professor (with tenure), Department of Economics, Eller College of Management, University of Arizona.","Ph.D., Economics, May 2000, Brown University, Providence, RI",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
Arizona/full/Price V. Fishback CV.docx,Price Vanmeter Fishback,1990,University of Arizona,7,"Associate Professor, University of Arizona, 1990-1993.","University of Washington (Ph.D. in Economics, 1983)",1,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
Arizona/full/alangerCV_20251211.docx,Ashley Langer,2021,University of Arizona,11,"Associate Professor, Department of Economics, University of Arizona, 2021- 2025","Ph.D. University of California, Berkeley, Economics, 2010",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Arizona/full/lemoine_cv.docx,Derek Lemoine,2017,University of Arizona,6,"2017-2023	Associate Professor of Economics, University of Arizona","Ph.D.	Energy and Resources, 2011",0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Arizona State/associate/CV-2.docx,Natalia Kovrijnykh,2016,Arizona State University,,"2016−present	 Associate Professor of Economics (with tenure), Arizona State University",,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Arizona State/associate/CV.docx,WYATT J. BROOKS,2020,University of Notre Dame,8,"Assistant Professor of Economics (2012-2020), granted tenure in May 2020",Ph.D. Economics University of Minnesota 2012,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Arizona State/associate/CV2023-05.docx,Manjira Datta,,,,,"Ph. D. (Economics), Cornell University, Ithaca NY, Aug 1992",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Arizona State/associate/CV_bishop.docx,Kelly C. Bishop,,,,,,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Arizona State/associate/CV_Ferraro.docx,Domenico Ferraro,2023,Arizona State University,9,"Associate Professor (with tenure), Department of Economics, Arizona State University, 2023-present.","Ph.D. in Economics, Duke University, USA, 2014.",0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Arizona State/associate/CV_current.docx,GALINA VERESHCHAGINA,2014,Arizona State University,10,"2014 – present: Associate Professor (with tenure), Arizona State University",Ph.D. in Economics (2004),0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Arizona State/associate/cv-3.docx,Alvin D. Murphy,,,,,"2003 - 2008	Ph.D., Economics, Duke University, Durham, NC",0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Arizona State/associate/gentry_cv.docx,Matthew L. Gentry,2019,Florida State University,7,"2019 – 2025	Associate Professor of Economics, Florida State University","2009 – 2012	Ph. D. in Economics, Vanderbilt University",0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Arizona State/associate/cv_kuminoff.docx,Nicolai V. Kuminoff,2016,Arizona State University,,"2016-present	Associate Professor, Arizona State University, Economics Department",,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
Arizona State/associate/mizzi_acad_cv_2021.docx,Phılıp J Mızzı,1993,Arizona State University,9,"Associate Professor, School of Global Management, 08/93 – 11/2008","Texas A&M University; 1984, Ph. D.; Economics",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona State/full/2104res.docx,Alejandro M. Manelli,1996,The University of Iowa,8,"Associate Professor of Economics, The University of Iowa, 1996–1997.","Ph.D. (Economics), University of California at Berkeley, 1988.",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Arizona State/full/Ketcham CV April 2024.docx,Jonathan D. Ketcham,,,,,"Ph.D. Applied Economics, The Wharton School of Business, University of Pennsylvania. 2002.",0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0
