file,rank,name,research_fields,promotion_year,full_promotion_year,full_promotion_university,promotion_university,years_post_phd,years_post_phd_full,QUARTERLY JOURNAL OF ECONOMICS_count,AMERICAN ECONOMIC REVIEW_count,ECONOMETRICA_count,REVIEW OF ECONOMIC STUDIES_count,JOURNAL OF POLITICAL ECONOMY_count,AMERICAN ECONOMIC JOURNAL-MACROECONOMICS_count,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS_count,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION_count,AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY_count,THEORETICAL ECONOMICS_count,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS_count,QUANTITATIVE ECONOMICS_count,REVIEW OF ECONOMICS AND STATISTICS_count,ECONOMIC JOURNAL_count,INTERNATIONAL ECONOMIC REVIEW_count,JOURNAL OF ECONOMIC THEORY_count,JOURNAL OF LABOR ECONOMICS_count,JOURNAL OF MONETARY ECONOMICS_count,RAND JOURNAL OF ECONOMICS_count,JOURNAL OF INTERNATIONAL ECONOMICS_count,JOURNAL OF PUBLIC ECONOMICS_count,JOURNAL OF ECONOMETRICS_count,JOURNAL OF DEVELOPMENT ECONOMICS_count,QUARTERLY JOURNAL OF ECONOMICS_year,AMERICAN ECONOMIC REVIEW_year,ECONOMETRICA_year,REVIEW OF ECONOMIC STUDIES_year,JOURNAL OF POLITICAL ECONOMY_year,AMERICAN ECONOMIC JOURNAL-MACROECONOMICS_year,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS_year,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION_year,AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY_year,THEORETICAL ECONOMICS_year,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS_year,QUANTITATIVE ECONOMICS_year,REVIEW OF ECONOMICS AND STATISTICS_year,ECONOMIC JOURNAL_year,INTERNATIONAL ECONOMIC REVIEW_year,JOURNAL OF ECONOMIC THEORY_year,JOURNAL OF LABOR ECONOMICS_year,JOURNAL OF MONETARY ECONOMICS_year,RAND JOURNAL OF ECONOMICS_year,JOURNAL OF INTERNATIONAL ECONOMICS_year,JOURNAL OF PUBLIC ECONOMICS_year,JOURNAL OF ECONOMETRICS_year,JOURNAL OF DEVELOPMENT ECONOMICS_year
Arizona/associate/Mathevet_cv.docx,associate,Laurent Mathevet,,2021,,,European University Institute,13,,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,,2020,,,,,2010; 2011,2018,,,,,2013,,,,,,,
Arizona/associate/Taylor_CV_Sep25.docx,associate,Evan James Taylor,,2023,,,University of Arizona,6,,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,,2015,,,,,2021,,,,,2019,2021,,,,2021,,,,,,
Arizona/associate/Stegeman_CV_2022.docx,associate,Mark Stegeman,Microeconomic Theory; Game Theory; Organizational Design,2000,,,Virginia Polytechnic Institute and State University,13,,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,,1991; 2007,1993; 1996; 2002,,,,,,,,,,,,2000,1996,,,2010,,,,
Arizona/associate/Deimen_CV_Nov2025.docx,associate,Inga Deimen,Microeconomic Theory; Information Economics; Organizational Economics; Contract Theory,2025,,,University of Arizona,9,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,2019,,,,,,,,,,,,,,2015; 2022; 2024,,,,,,,
Arizona/full/CVJan2025_Hidehiko Ichimura.docx,full,Hidehiko Ichimura,,1998,2001,University College London,University of Pittsburgh,10,13,0,0,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,,,1998; 2007; 2012; 2022,1997; 1998,,,,,,,,2018; 2022,,,,,,,,,,1991; 1993; 1998; 2010,
Arizona/full/Charles-Noussair-Vitae-June-2025.docx,full,Charles N. Noussair,Experimental Economics; Game Theory; Applied Microeconomics; Financial Economics; Experimental Finance,1998,2004,Emory University,Purdue University,5,11,0,4,1,1,2,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0,,2002; 2003; 2007; 2015,2001,2014,1997; 2012,,,,,,,,,2004; 2009,2002; 2007,2024,,,,,2012,,
Arizona/full/20220817_cv_wildenbeest.docx,full,Matthijs R Wildenbeest,,2013,2022,The University of Arizona,Indiana University,6,15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,,2012,,,,,,,,,,,,2021,,,,,2011; 2017,,,,
Arizona/full/Blume.docx,full,Andreas Blume,,1995,2000,University of Pittsburgh,University of Iowa,6,11,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,11,0,0,0,0,0,0,0,,1998; 2009,2013,,,,,,,2007; 2022,,,,,,1994; 1995; 2000; 2000; 2004; 2006; 2007; 2007; 2022; 2023; 2024,,,,,,,
Arizona/full/Price V. Fishback CV.docx,full,Price Vanmeter Fishback,Economic History; Labor Economics; Political Economy; Law and Economics,1987,1993,University of Arizona,University of Georgia,4,10,1,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1995,2011; 2013,,,1996,,,,,,,,1991; 2007,,,,2010,,,,,,
Arizona/full/Powell CV June 2022_0.docx,full,James L. Powell,,1987,1990,University of Wisconsin-Madison,University of Wisconsin-Madison,5,8,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0,,,1983; 1986; 1987; 1989; 1999; 2003; 2012,2004,,,,,,,,,,,2007,,,,,,,1981; 1984; 1985; 1986; 1991; 1993; 1993; 1994; 1994; 1995; 1996; 2001; 2002; 2007; 2018; 2019,
