file,name,promotion_year,promotion_university,years_post_phd,QUARTERLY JOURNAL OF ECONOMICS,AMERICAN ECONOMIC REVIEW,ECONOMETRICA,REVIEW OF ECONOMIC STUDIES,JOURNAL OF POLITICAL ECONOMY,AMERICAN ECONOMIC JOURNAL-MACROECONOMICS,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY,THEORETICAL ECONOMICS,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS,QUANTITATIVE ECONOMICS,REVIEW OF ECONOMICS AND STATISTICS,ECONOMIC JOURNAL,INTERNATIONAL ECONOMIC REVIEW,JOURNAL OF ECONOMIC THEORY,JOURNAL OF LABOR ECONOMICS,JOURNAL OF MONETARY ECONOMICS,RAND JOURNAL OF ECONOMICS,JOURNAL OF INTERNATIONAL ECONOMICS,JOURNAL OF PUBLIC ECONOMICS,JOURNAL OF ECONOMETRICS,JOURNAL OF DEVELOPMENT ECONOMICS
Arizona State/associate/CV-2.docx,Natalia Kovrijnykh,2016.0,Arizona State University,9.0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Arizona State/associate/CV.docx,Wyatt J. Brooks,2020.0,University of Notre Dame,8.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Arizona State/associate/CV2023-05.docx,Manjira Datta,2001.0,Arizona State University,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Arizona State/associate/CV_Ferraro.docx,Domenico Ferraro,2023.0,Arizona State University,9.0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Arizona State/associate/cv_kuminoff.docx,Nicolai V. Kuminoff,2016.0,Arizona State University,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Arizona State/associate/CV_current.docx,Galina Vereshchagina,2014.0,Arizona State University,10.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Arizona State/associate/CV_bishop.docx,Kelly C. Bishop,2013.0,Arizona State University,5.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Arizona State/associate/cv-3.docx,Alvin D. Murphy,,,,0,2,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Arizona State/associate/gentry_cv.docx,Matthew L. Gentry,2017.0,London School of Economics,5.0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Arizona State/full/2104res.docx,Alejandro M. Manelli,1997.0,Arizona State University,9.0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Arizona State/associate/mizzi_acad_cv_2021.docx,Philip J Mizzi,1993.0,Arizona State University,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona State/full/CV - Esteban M. Aucejo.docx,Esteban M. Aucejo,2017.0,Arizona State University,5.0,0,1,0,0,2,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,3,0,0
Arizona State/full/Ketcham CV April 2024.docx,Jonathan D. Ketcham,2020.0,Arizona State University,18.0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0
Arizona State/full/RAJNISH-MEHRA-Vita-Aug-2025.docx,Rajnish Mehra,1985.0,"University of California, Santa Barbara",7.0,1,0,1,1,0,0,0,0,0,0,0,3,0,0,1,2,0,2,0,0,0,0,0
Arizona State/full/May 2023.docx,Jeffrey R. Wilson,1991.0,Arizona State University,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona State/full/WMH CV 6-19.docx,W. Michael Hanemann,1984.0,University of California at Berkeley,6.0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Arizona State/full/ahn_vita_2021_02_22.docx,Seung Chan Ahn,1997.0,Arizona State University,7.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Arizona State/full/cv.docx,Hector Chade,2003.0,Arizona State University,6.0,0,1,2,2,0,0,0,0,0,2,0,0,0,0,1,5,0,0,1,0,0,0,0
Arizona State/full/cv-july2025.docx,Gustavo Ventura,2007.0,University of Iowa,10.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0
