file,name,promotion_year,promotion_university,years_post_phd,promotion_evidence,phd_evidence,QUARTERLY JOURNAL OF ECONOMICS,AMERICAN ECONOMIC REVIEW,ECONOMETRICA,REVIEW OF ECONOMIC STUDIES,JOURNAL OF POLITICAL ECONOMY,AMERICAN ECONOMIC JOURNAL-MACROECONOMICS,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY,THEORETICAL ECONOMICS,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS,QUANTITATIVE ECONOMICS,REVIEW OF ECONOMICS AND STATISTICS,ECONOMIC JOURNAL,INTERNATIONAL ECONOMIC REVIEW,JOURNAL OF ECONOMIC THEORY,JOURNAL OF LABOR ECONOMICS,JOURNAL OF MONETARY ECONOMICS,RAND JOURNAL OF ECONOMICS,JOURNAL OF INTERNATIONAL ECONOMICS,JOURNAL OF PUBLIC ECONOMICS,JOURNAL OF ECONOMETRICS,JOURNAL OF DEVELOPMENT ECONOMICS
Arizona/associate/Deimen_CV_Nov2025.docx,Inga Deimen,2025,University of Arizona,9,08/2025 –	Associate Professor in Economics at the University of Arizona,"06/2016	Doctorate in Economics, University of Bonn",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Arizona/associate/Stegeman_CV_2022.docx,Mark Stegeman,2000,Virginia Polytechnic Institute and State University,13,"Virginia Polytechnic Institute and State University, Assistant Professor, Economics, 1994-2000; Associate Professor, Economics, 2000- 2006.","1987	Ph.D. Economics, Massachusetts Institute of Technology.",0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Arizona/associate/Taylor_CV_Sep25.docx,Evan James Taylor,2023,University of Arizona,6,"08/2023 – current	Associate Professor of Economics, University of Arizona 10/2021 – current	Research Affiliate, Institute of Labor Economics (IZA) 08/2019 – 07/2023	Assistant Professor of Economics, University of Arizona","08/2017	Ph.D., Economics, University of Michigan",0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Arizona/associate/Mathevet_cv.docx,Laurent Mathevet,2021,European University Institute,13,"Associate Professor of Economics. Department of Economics, University of Arizona. 2024 - . Professor of Economics. Department of Economics, European University Institute. 2021 - 2024. Assistant Professor of Economics. Department of Economics, New York University. 2013 - 2021.",Ph.D in Social Sciences	June 2008,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0
Arizona/full/CVJan2025_Hidehiko Ichimura.docx,,1998,University of Pittsburgh,10,"Associate Professor, Department of Economics, University of Pittsburgh, September 1998–June 1999","PhD Economics, 1988, Massachusetts Institute of Technology",0,2,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0
Arizona/full/20220817_cv_wildenbeest.docx,,2013,"Indiana University, Kelley School of Business",6,"Associate Professor (with tenure), 2013 – 2022. Weimer Faculty Fellow, 2020 – 2022.","Ph.D. Economics, Erasmus University Rotterdam, 2007. M.Phil. Economics, Tinbergen Institute, 2003.",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
Arizona/full/Blume.docx,Andreas Blume,1995,University of Iowa,,"Professor - Department of Economics, University of Pittsburgh, 2000-2012. Associate Professor - Department of Economics, University of Iowa, 1995 to 2000. Assistant Professor - Department of Economics, University of Iowa, 1989 to 1995.",,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0
Arizona/full/Charles-Noussair-Vitae-June-2025.docx,Charles N. Noussair,1998,Purdue University,5,"Associate Professor of Economics (with tenure), Krannert School of Management, Purdue University, West Lafayette, IN, USA, 1998 – 2002, Assistant Professor, 1994 - 1998.","Ph.D. Social Science, California Institute of Technology, USA, 1993.",0,3,1,1,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0
Arizona/full/Powell CV June 2022_0.docx,James L. Powell,,,,,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0
"Arizona/full/Mo, Xiao_CV.docx",Mo XIAO,2012,the University of Arizona,9,"Associate Professor (with tenure), Department of Economics, the University of Arizona (Aug 2012 to Aug 2022)","Ph.D. Economics, UCLA, May 2003",0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
